LADCD,FRACD,YEAR
E07000081,E31000016,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000119,E31000023,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000173,E31000030,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
W06000010,W25000002,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000001,E31000007,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000174,E31000030,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E08000013,E31000041,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000082,E31000016,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000120,E31000023,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
W06000011,W25000002,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000002,E31000007,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000121,E31000023,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E08000014,E31000041,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000175,E31000030,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000083,E31000016,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
W06000012,W25000002,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000003,E31000007,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E08000015,E31000041,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000122,E31000023,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000044,E31000017,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
W06000023,W25000002,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000004,E31000007,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000176,E31000030,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E08000016,E31000042,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000045,E31000017,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000123,E31000023,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
W06000013,W25000003,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000177,E31000031,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000052,E31000008,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000084,E31000017,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E08000017,E31000042,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000124,E31000023,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
W06000014,W25000003,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000178,E31000031,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000026,E31000009,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E08000018,E31000042,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000085,E31000017,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
W06000015,W25000003,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000125,E31000023,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000179,E31000031,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000027,E31000009,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E08000019,E31000042,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000086,E31000017,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000126,E31000023,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000180,E31000031,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
W06000016,W25000003,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000028,E31000009,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E08000021,E31000043,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000087,E31000017,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000127,E31000023,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
W06000018,W25000003,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000181,E31000031,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000029,E31000009,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E08000022,E31000043,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000088,E31000017,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000128,E31000023,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
W06000019,W25000003,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000020,E31000032,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000030,E31000009,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E08000023,E31000043,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000089,E31000017,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
W06000020,W25000003,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000016,E31000024,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000051,E31000032,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000031,E31000009,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E08000024,E31000043,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000090,E31000017,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
W06000021,W25000003,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000021,E31000033,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000017,E31000024,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000015,E31000010,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000091,E31000017,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E08000037,E31000043,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
W06000022,W25000003,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000129,E31000024,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000192,E31000033,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000032,E31000010,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000092,E31000017,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
W06000024,W25000003,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E08000025,E31000044,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000130,E31000024,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000193,E31000033,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000033,E31000010,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000093,E31000017,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000131,E31000024,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000194,E31000033,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000034,E31000010,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E08000026,E31000044,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000094,E31000017,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000132,E31000024,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000195,E31000033,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000035,E31000010,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E08000027,E31000044,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000019,E31000018,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000133,E31000024,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000196,E31000033,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000036,E31000010,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E08000028,E31000044,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000234,E31000018,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000197,E31000033,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000037,E31000010,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000134,E31000024,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E08000029,E31000044,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000235,E31000018,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000038,E31000010,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000198,E31000033,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000135,E31000024,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E08000030,E31000044,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000236,E31000018,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000039,E31000010,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000199,E31000033,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000136,E31000025,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E08000031,E31000044,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000200,E31000034,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E08000032,E31000045,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000026,E31000011,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000237,E31000018,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000137,E31000025,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E08000033,E31000045,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000138,E31000025,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000238,E31000018,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000027,E31000011,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000201,E31000034,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000040,E31000011,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
